Date,Province,Commodity,Price
2020-01-01,KALIMANTAN TENGAH,"Chili (bird's eye, red)",54027.7775
2020-01-01,KALIMANTAN TENGAH,Chili (red),50162.0375
2020-01-01,KALIMANTAN TENGAH,"Chili (red, curly)",48956.0175
2020-01-01,KALIMANTAN TENGAH,"Chili (red, large)",51368.057499999995
2020-01-01,KALIMANTAN TIMUR,Chili (bird's eye),48636.49333333334
2020-01-01,KALIMANTAN TIMUR,"Chili (bird's eye, green)",48836.111666666664
2020-01-01,KALIMANTAN TIMUR,"Chili (bird's eye, red)",48633.333333333336
2020-01-01,KALIMANTAN TIMUR,Chili (red),39075.0
2020-01-01,KALIMANTAN TIMUR,"Chili (red, curly)",33788.888333333336
2020-01-01,KALIMANTAN TIMUR,"Chili (red, large)",44361.111666666664
2020-01-01,KALIMANTAN UTARA,Chili (bird's eye),66606.32
2020-01-01,KALIMANTAN UTARA,"Chili (bird's eye, green)",66282.84
2020-01-01,KALIMANTAN UTARA,"Chili (bird's eye, red)",66594.83
2020-01-01,KALIMANTAN UTARA,Chili (red),46992.457500000004
2020-01-01,KALIMANTAN UTARA,"Chili (red, curly)",44907.3275
2020-01-01,KALIMANTAN UTARA,"Chili (red, large)",48936.78
2020-01-01,KEPULAUAN BANGKA BELITUNG,Chili (bird's eye),51162.5
2020-01-01,KEPULAUAN BANGKA BELITUNG,"Chili (bird's eye, green)",40170.835
2020-01-01,KEPULAUAN BANGKA BELITUNG,"Chili (bird's eye, red)",65737.5025
2020-01-01,KEPULAUAN BANGKA BELITUNG,Chili (red),65676.7225
2020-01-01,KEPULAUAN BANGKA BELITUNG,"Chili (red, curly)",54900.0
2020-01-01,KEPULAUAN BANGKA BELITUNG,"Chili (red, large)",76375.0
2020-01-01,KEPULAUAN RIAU,Chili (bird's eye),49320.832500000004
2020-01-01,KEPULAUAN RIAU,"Chili (bird's eye, green)",49403.332
2020-01-01,KEPULAUAN RIAU,Chili (red),60425.0
2020-01-01,KEPULAUAN RIAU,"Chili (red, curly)",60796.666000000005
2020-01-01,LAMPUNG,Chili (bird's eye),55290.9475
2020-01-01,LAMPUNG,"Chili (bird's eye, green)",41875.0
2020-01-01,LAMPUNG,"Chili (bird's eye, red)",68266.66500000001
2020-01-01,LAMPUNG,Chili (red),50430.556666666664
2020-01-01,LAMPUNG,"Chili (red, curly)",48495.832500000004
2020-01-01,LAMPUNG,"Chili (red, large)",54749.996666666666
2020-01-01,MALUKU,Chili (bird's eye),56350.573333333334
2020-01-01,MALUKU,"Chili (bird's eye, green)",25130.95
2020-01-01,MALUKU,"Chili (bird's eye, red)",69895.8325
2020-01-01,MALUKU,Chili (red),56218.7525
2020-01-01,MALUKU,"Chili (red, curly)",53437.5025
2020-01-01,MALUKU,"Chili (red, large)",45000.0
2020-01-01,MALUKU UTARA,Chili (bird's eye),73083.33499999999
2020-01-01,MALUKU UTARA,"Chili (bird's eye, green)",74500.0
2020-01-01,MALUKU UTARA,"Chili (bird's eye, red)",73333.33
2020-01-01,MALUKU UTARA,Chili (red),32887.93
2020-01-01,MALUKU UTARA,"Chili (red, curly)",35166.67
2020-01-01,MALUKU UTARA,"Chili (red, large)",30416.67
2020-01-01,NUSA TENGGARA BARAT,Chili (bird's eye),46619.998
2020-01-01,NUSA TENGGARA BARAT,"Chili (bird's eye, green)",29804.1675
2020-01-01,NUSA TENGGARA BARAT,"Chili (bird's eye, red)",57830.0
2020-01-01,NUSA TENGGARA BARAT,Chili (red),45079.167499999996
2020-01-01,NUSA TENGGARA BARAT,"Chili (red, curly)",43620.0
2020-01-01,NUSA TENGGARA BARAT,"Chili (red, large)",48125.0
2020-01-01,NUSA TENGGARA TIMUR,Chili (bird's eye),78861.2075
2020-01-01,NUSA TENGGARA TIMUR,"Chili (bird's eye, green)",47104.167499999996
2020-01-01,NUSA TENGGARA TIMUR,"Chili (bird's eye, red)",110783.75
2020-01-01,NUSA TENGGARA TIMUR,Chili (red),62242.77666666667
2020-01-01,NUSA TENGGARA TIMUR,"Chili (red, curly)",59773.75
2020-01-01,NUSA TENGGARA TIMUR,"Chili (red, large)",53458.75
2020-01-01,PAPUA,Chili (bird's eye),31014.058
2020-01-01,PAPUA,"Chili (bird's eye, green)",25516.358333333334
2020-01-01,PAPUA,"Chili (bird's eye, red)",38293.21
2020-01-01,PAPUA,Chili (red),44184.84666666667
2020-01-01,PAPUA,"Chili (red, curly)",34340.74
2020-01-01,PAPUA,"Chili (red, large)",53033.025
2020-01-01,PAPUA BARAT,Chili (bird's eye),48098.957500000004
2020-01-01,PAPUA BARAT,"Chili (bird's eye, green)",34101.63333333333
2020-01-01,PAPUA BARAT,"Chili (bird's eye, red)",60010.415
2020-01-01,PAPUA BARAT,Chili (red),47421.875
2020-01-01,PAPUA BARAT,"Chili (red, curly)",43875.0
2020-01-01,PAPUA BARAT,"Chili (red, large)",55111.11000000001
2020-01-01,RIAU,Chili (bird's eye),45096.42857142857
2020-01-01,RIAU,"Chili (bird's eye, green)",38469.04857142857
2020-01-01,RIAU,"Chili (bird's eye, red)",81067.545
2020-01-01,RIAU,Chili (red),41812.5
2020-01-01,RIAU,"Chili (red, curly)",44756.25
2020-01-01,RIAU,"Chili (red, large)",36205.556666666664
2020-01-01,SULAWESI BARAT,Chili (bird's eye),29892.8575
